label,occorrenze,media_flusso_fisso_max_run_CORRETTO_Correzione_Additiva_dell_Apertura_DECORRELAZIONE_STELLE_GLOBALE
RA_175.67DEC-33.14,55,101.3855541425183
RA_175.74DEC-30.03,57,218.4694723256933
RA_175.76DEC-30.29,17,81.7635332925516
RA_175.78DEC-31.64,57,106.12031613982343
RA_175.87DEC-31.02,16,347.8977236333834
RA_175.87DEC-31.72,55,101.37688835108537
RA_175.88DEC-32.94,51,98.81328663178807
RA_175.93DEC-32.13,55,120.51957660777167
RA_175.95DEC-29.68,15,355.7893705977837
RA_175.95DEC-33.23,41,95.82672832780334
RA_175.96DEC-32.96,45,101.0317481709592
RA_175.97DEC-31.96,55,114.47208055476355
RA_175.99DEC-29.75,15,1171.678452742887
RA_176.00DEC-32.00,55,255.05924921308298
RA_176.07DEC-29.98,15,140.78197743864854
RA_176.08DEC-31.63,15,374.0481483975126
RA_176.12DEC-33.01,22,86.16731097021744
RA_176.16DEC-29.88,14,525.8879338771162
RA_176.27DEC-31.78,14,466.0110114056296
RA_176.36DEC-31.71,49,159.49085017903687
RA_176.38DEC-30.50,47,291.55447493684784
RA_176.41DEC-30.95,12,516.0255846959072
RA_176.43DEC-32.26,47,306.16891045843767
RA_176.44DEC-31.98,12,145.1474278369535
RA_176.48DEC-30.39,33,89.30224057642482
RA_176.50DEC-29.60,11,111.65921242595309
RA_176.61DEC-30.03,43,134.82145151488984
RA_176.61DEC-32.55,42,117.2621670438266
RA_176.62DEC-29.86,10,105.187342356013
RA_176.64DEC-30.93,10,588.7011780817465
RA_176.64DEC-32.33,45,173.84573263756778
RA_176.67DEC-31.13,38,96.3406484969399
RA_176.69DEC-32.04,29,86.52395216521998
RA_176.76DEC-31.48,19,81.17229208249985
RA_176.78DEC-33.15,36,105.75459438874849
RA_176.81DEC-32.82,42,110.5303397251653
RA_176.84DEC-32.39,33,107.0533255423352
RA_176.87DEC-31.18,41,217.63181195505342
RA_176.99DEC-32.39,39,190.2015100285574
RA_177.03DEC-29.68,37,142.46648498576005
RA_177.12DEC-31.48,29,95.49811287328839
RA_177.17DEC-31.61,35,149.31301353508667
RA_177.25DEC-32.85,27,105.76317170878636
RA_177.31DEC-30.67,33,372.6592483085774
RA_177.32DEC-31.10,33,123.16169989258705
RA_177.36DEC-31.88,21,87.24578647472437
RA_177.37DEC-32.79,33,131.7808485962752
RA_177.40DEC-30.02,22,91.24245838333547
RA_177.42DEC-32.71,28,98.5082602757102
RA_177.43DEC-32.44,33,542.7114803342464
RA_177.47DEC-29.81,25,119.37382414115844
RA_177.47DEC-31.48,31,193.06244908092148
RA_177.47DEC-33.05,30,118.78936005996694
RA_177.48DEC-32.51,31,169.73731039620841
RA_177.51DEC-32.42,30,120.99653920339203
RA_177.53DEC-30.53,29,129.10106802625884
RA_177.57DEC-30.54,29,219.77274365109523
RA_177.60DEC-29.64,24,110.69854925867294
RA_177.67DEC-31.22,24,96.08595800198846
RA_177.68DEC-33.14,29,695.6768247172683
RA_177.74DEC-29.87,23,109.27805757272462
RA_177.75DEC-33.22,26,207.26828389337777
RA_177.80DEC-31.67,20,91.02387200990928
RA_177.87DEC-31.63,24,229.1758827860148
RA_177.91DEC-32.84,24,106.17791194582871
RA_177.92DEC-33.19,16,90.3597014561006
RA_177.93DEC-30.84,23,2688.2612677475367
RA_177.93DEC-32.82,24,171.58253209474643
RA_177.99DEC-31.94,23,153.7153038168068
RA_177.99DEC-32.93,23,152.0768380989517
RA_178.04DEC-30.08,22,108.03787323016246
RA_178.04DEC-30.27,21,95.69144983721596
RA_178.09DEC-31.43,22,117.00104855865648
RA_178.42DEC-31.63,19,269.6370061522479
RA_178.52DEC-29.98,18,355.66622148238525
RA_178.55DEC-30.91,18,1212.6978740603508
RA_178.58DEC-32.03,18,116.34841254726926
RA_178.66DEC-32.13,18,240.57515903264616
RA_178.68DEC-30.76,14,90.94023468570025
RA_178.70DEC-31.67,17,421.36421127274497
RA_178.74DEC-33.06,17,227.87049283767143
RA_178.79DEC-32.47,17,112.71068147665986
RA_178.80DEC-29.84,16,112.10850221645578
RA_178.94DEC-32.45,16,158.54658315125133
RA_178.96DEC-29.81,15,141.94755508625494
RA_179.03DEC-32.23,15,238.28415682128323
RA_179.09DEC-31.19,14,351.3868224045672
RA_179.11DEC-33.16,14,113.5512372410436
RA_179.12DEC-32.20,14,156.80620709694236
RA_179.13DEC-31.06,14,131.3171565920653
RA_179.18DEC-32.27,14,1060.8805806663024
RA_179.31DEC-30.01,11,110.48975333998946
