label,occorrenze,media_flusso_fisso_max_run_CORRETTO_Correzione_Additiva_dell_Apertura_DECORRELAZIONE_STELLE_GLOBALE,numero_di_run,Mag_estratta_max
RA_166.16DEC7.16,28,94.42545099948528,2,11.53929286127191
RA_166.18DEC-32.08,40,194.93341826660503,2,10.152922151129731
RA_166.19DEC-31.84,39,99.22174276921164,2,10.792420208951082
RA_166.21DEC-32.21,40,109.6826943181085,2,10.72471425255798
RA_166.26DEC7.33,27,5919.615833106504,2,5.163878886800073
RA_166.29DEC-32.18,41,175.27126512903928,2,10.248121837099957
RA_166.31DEC9.57,27,143.36201787798635,2,10.773143076123752
RA_166.32DEC-33.08,41,151.24176363022335,2,10.38541749955181
RA_166.33DEC-30.53,40,165.5751048335531,2,10.366706806055994
RA_166.39DEC-31.71,35,89.51576332456743,2,10.919387360716142
RA_166.44DEC-31.54,38,88.76730269071332,2,10.892776529420551
RA_166.51DEC-32.94,41,100.26989603062762,2,10.848277811218365
RA_166.53DEC7.03,25,309.72459346791624,2,9.537238203231013
RA_166.53DEC7.32,22,85.24190267734049,2,11.485368205441446
RA_166.54DEC-30.29,42,227.4986619527525,2,10.075554684469571
RA_166.54DEC7.14,25,896.2729226077571,2,8.046049694890288
RA_166.56DEC10.31,25,165.14759935702946,2,10.710511844766076
RA_166.56DEC8.50,21,77.5013981807601,2,11.82455451079116
RA_166.58DEC9.39,25,140.86064301913572,2,10.93573668396039
RA_166.59DEC-31.10,43,296.33256331558124,2,9.722381544860816
RA_166.60DEC-32.64,38,83.32301103257134,2,10.88874611742052
RA_166.66DEC9.96,24,357.5697211136588,2,9.463388267512268
RA_166.68DEC-31.24,43,169.1337804065131,2,10.286135627739588
RA_166.70DEC-31.88,30,80.6846961655228,2,10.921216957579118
RA_166.72DEC-30.65,32,90.93945343397318,2,10.85147263447744
RA_166.72DEC8.11,23,196.816966968654,2,10.27842737075369
RA_166.76DEC7.94,17,66.63629815434018,2,11.84799502806423
RA_166.77DEC9.62,23,234.44582462380035,2,10.096344228081277
RA_166.80DEC10.10,22,94.45966331145732,2,11.356198906299491
RA_166.81DEC10.21,23,993.2674594365712,2,7.910582597686523
RA_166.83DEC-30.50,44,164.98982537824642,2,10.425748896821895
RA_166.84DEC7.51,22,174.2500882402435,2,10.521608958816426
RA_166.85DEC10.20,22,117.91648972685547,2,11.1362976896716
RA_166.91DEC-30.69,35,79.52217852999127,2,10.955408780118477
RA_166.94DEC10.11,19,86.707865086858,2,11.42307719447519
RA_166.95DEC-30.71,44,103.31887055891956,2,10.82190347020801
RA_166.95DEC10.22,22,120.18735077346884,2,11.16377064402336
RA_166.96DEC8.38,22,109.16916538577858,2,11.22546005205228
RA_167.00DEC10.20,21,121.16061710982532,2,11.055534966448349
RA_167.03DEC9.02,21,527.7875396167808,2,8.77504563354984
RA_167.11DEC7.63,20,455.8452321780695,2,8.96015284814281
RA_167.14DEC-30.13,47,637.4590044033271,2,9.078694377692628
RA_167.18DEC-30.77,47,435.6844738318447,2,9.345659714697778
RA_167.20DEC8.80,20,120.79434345325292,2,11.053431055588748
RA_167.21DEC-32.05,48,144.39681811951877,2,10.491021737035902
RA_167.22DEC-30.89,48,200.10135297456875,2,10.260130365801825
RA_167.22DEC-31.05,48,118.8863930902507,2,10.713669038119187
RA_167.23DEC-30.93,47,126.06408837039623,2,10.675710329863008
RA_167.25DEC6.90,18,96.77461816407576,2,11.374091181581724
RA_167.25DEC9.70,18,83.80517319600433,2,11.557219382455504
RA_167.27DEC7.95,19,123.4160475766254,2,11.049571528859474
RA_167.29DEC-30.35,48,176.6425047601348,2,10.593132703463237
RA_167.32DEC-32.25,49,182.22945923822545,2,10.277612468307783
RA_167.33DEC-31.62,45,100.20476639560069,2,10.808508687798664
RA_167.36DEC8.81,18,83.4712122791353,2,11.553814720086557
RA_167.39DEC-32.51,49,148.71457691482578,2,10.49259762374044
RA_167.41DEC-33.05,50,148.8030535608347,2,10.546678550930311
RA_167.43DEC-32.64,50,150.40523320092146,2,10.422383798023452
RA_167.44DEC7.50,18,199.56864063291425,2,10.366430834502358
RA_167.45DEC10.16,18,431.7384390716357,2,9.121377275518263
RA_167.56DEC-32.42,51,185.53667715625556,2,10.178868397884717
RA_167.62DEC-32.83,51,171.71922072916777,2,10.359877004001945
RA_167.63DEC7.89,16,1066.5627105853766,2,7.713461974998309
RA_167.69DEC-32.21,52,159.27580373340533,2,10.446593450281528
RA_167.69DEC10.37,16,220.09934994747672,2,10.280733346775255
RA_167.71DEC-33.01,52,131.73491954340182,2,10.569973874548465
RA_167.72DEC-30.43,48,99.22076678085828,2,10.824454752331915
RA_167.72DEC-32.70,52,131.44036158086357,2,10.61215511184086
RA_167.73DEC-31.94,51,109.3215766815819,2,10.81703942310568
RA_167.73DEC9.85,15,178.81061913303682,2,10.501421327521708
RA_167.77DEC-32.34,52,122.8566200019634,2,10.647399633172986
RA_167.78DEC8.05,14,87.29398495631474,2,11.52332574741276
RA_167.80DEC-30.13,52,172.98016240300723,2,10.485632590863322
RA_167.80DEC-31.19,35,75.72628253563113,2,10.984006963963992
RA_167.80DEC-33.15,42,87.9412533813444,2,10.91037091223845
RA_167.85DEC8.27,15,175.9210316340203,2,10.458050471697282
RA_167.86DEC-31.39,53,193.72546507300893,2,10.28872446234693
RA_167.87DEC-32.46,53,140.72776420551625,2,10.533721564748314
RA_167.89DEC-32.15,37,81.62749051928068,2,10.962209289133318
RA_167.89DEC-32.57,36,79.34529021109992,2,11.015631912985564
RA_167.91DEC8.31,14,135.28860130365038,2,10.864365510239749
RA_167.94DEC-30.75,36,79.5271729947728,2,10.924326683423317
RA_167.98DEC10.28,14,100.84737160652745,2,11.314670149370157
RA_168.01DEC-32.98,46,95.2586472174152,2,10.898017271870762
RA_168.01DEC9.09,12,80.87580513014068,2,11.454010699942668
RA_168.02DEC8.19,13,112.1180795127882,2,11.000688727151838
RA_168.02DEC9.65,13,97.25924778063336,2,11.193761719638092
RA_168.02DEC9.88,13,94.32494046084504,2,11.22796544280207
RA_168.06DEC10.39,13,173.12875353847772,2,10.475521681903343
RA_168.10DEC-31.34,54,106.40751847821448,2,10.863690924132973
RA_168.10DEC-32.02,47,96.7247693648276,2,10.797324246165903
RA_168.13DEC-31.30,55,141.28789149838056,2,10.569859452388943
RA_168.18DEC9.87,12,490.3976217436718,2,8.805295015938322
RA_168.22DEC-30.70,57,173.309061126249,3,10.359157847582876
RA_168.22DEC-31.46,58,118.8851732605302,3,10.77645357278444
RA_168.25DEC8.59,11,123.65783339027766,2,10.874902417366233
RA_168.32DEC-30.60,58,148.515294730233,3,10.720626368473804
RA_168.33DEC-32.89,30,81.74619453109474,2,10.943947962875864
RA_168.37DEC-30.09,47,102.80060102697207,2,10.83906961247484
RA_168.39DEC-30.25,57,115.64359316878615,3,10.857581268735894
RA_168.41DEC7.94,10,535.2683436647961,2,8.618995243058071
RA_168.43DEC-31.46,58,100.85512316240724,3,11.016360550626624
RA_168.45DEC-30.07,60,344.2816357949853,3,9.70021771784884
RA_168.48DEC-32.05,50,87.07329769970914,3,10.976454139938124
RA_168.49DEC-31.15,62,136.997990227929,3,10.751965430649186
RA_168.55DEC-32.98,64,288.0232891778646,3,9.822743334038124
RA_168.61DEC-30.59,64,228.74630455609605,3,10.099178662585226
RA_168.70DEC-30.31,62,107.46851053865596,3,10.860975749838657
