"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 28 2009","2455071.999988426","273153601","76.73","1.46e-7","3.80e-8","-1.74","-","28.57","1e-8","0","bin130.log"
"Aug 31 2009","2455074.999988426","273412801","60.76","1.29e-7","3.74e-8","-1.74","-","29.05","1e-8","0","bin131.log"
"Sep 03 2009","2455077.999988426","273672001","80.81","1.43e-7","3.40e-8","-1.74","-","29.85","1e-8","0","bin132.log"
"Sep 06 2009","2455080.999988426","273931201","83.52","1.11e-7","3.05e-8","-1.74","-","30.92","1e-8","0","bin133.log"
"Sep 09 2009","2455083.999988426","274190401","126.49","2.04e-7","4.10e-8","-1.74","-","32.24","1e-8","0","bin134.log"
"Sep 12 2009","2455086.999988426","274449601","64.18","1.24e-7","3.48e-8","-1.74","-","33.77","1e-8","0","bin135.log"
"Sep 15 2009","2455089.999988426","274708801","114.28","1.96e-7","4.40e-8","-1.74","-","35.48","1e-8","0","bin136.log"
"Sep 18 2009","2455092.999988426","274968001","107.73","1.91e-7","4.60e-8","-1.74","-","37.34","1e-8","0","bin137.log"
"Sep 21 2009","2455095.999988426","275227201","90.43","1.46e-7","3.70e-8","-1.74","-","39.33","1e-8","0","bin138.log"
"Sep 24 2009","2455098.999988426","275486401","76.73","1.78e-7","4.10e-8","-1.74","-","41.42","1e-8","0","bin139.log"
"Sep 27 2009","2455101.999988426","275745601","111.94","1.85e-7","4.10e-8","-1.74","-","43.58","1e-8","0","bin140.log"
"Sep 30 2009","2455104.999988426","276004801","153.6","2.45e-7","4.50e-8","-1.74","-","45.82","1e-8","0","bin141.log"
"Oct 03 2009","2455107.999988426","276264001","187.17","2.25e-7","4.00e-8","-1.74","-","48.10","1e-8","0","bin142.log"
"Oct 06 2009","2455110.999988426","276523201","191.24","2.26e-7","4.10e-8","-1.74","-","50.42","1e-8","0","bin143.log"
"Oct 09 2009","2455113.999988426","276782401","45.31","1.23e-7","3.68e-8","-1.74","-","52.78","1e-8","0","bin144.log"
"Oct 12 2009","2455116.999988426","277041601","142.21","1.66e-7","3.70e-8","-1.74","-","55.15","1e-8","0","bin145.log"
"Oct 15 2009","2455119.999988426","277300801","227.23","2.84e-7","4.60e-8","-1.74","-","57.53","1e-8","0","bin146.log"
